participant,LapLong,whichtalk,threeGR,Wcount,factualindex,conceptualindex,factualraw,conceptualraw,perfectfactindexscore,perfectconceptindexscore,perfectfactsscore,perfectconceptscore,filter_$,ZFindexA,ZCindexA,ZFrawA,ZCrawA,ZFindexW,ZCindexW,ZFrawW,ZCrawW
50,0,1,.115044248,223,3.1666667,1.5,7,3,7,3,14,6,1,-.305318371605658,-.850644125012389,.386694595618266,-.740710297939748,-.508833245496897,-.938911685786822,-.188465184273011,-.901387818865997
51,0,4,.213963964,439,4.8333335,2,9,4,6,4,12,7,1,.928866783686418,-.365627737943922,1.1600837868548,-.0221107551623805,.517457216167695,-.2953249540404,.346655068283906,-.0432080805095184
52,0,4,.102661597,229,2.6666667,2.5,5,5,6,4,12,7,1,-.675573888572839,.119388649124545,-.386694595618265,.696488787614987,-1.23739735629832,.210946395743143,-1.16602159331859,.475288885604705
53,0,5,.090322581,152,4.5,2,5,4,7,3,9,6,1,.682029648956458,-.365627737943922,-.386694595618265,-.0221107551623805,.52800004680333,.0925579720669508,.337213701039529,0
54,0,5,.12745098,213,5.5,2.5,6,5,7,3,9,6,1,1.42254068289082,.119388649124545,6.8690758968562E-16,.696488787614987,1.19494747434438,1.20325363687036,.915294331393006,1.04880884817015
55,1,5,.08490566,116,4,2.5,4,5,7,3,9,6,1,.311774131989277,.119388649124545,-.77338919123653,.696488787614987,.194526333032806,1.20325363687036,-.240866929313948,1.04880884817015
56,1,5,.091370558,201,5,2,6,4,7,3,9,6,1,1.05228516592364,-.365627737943922,6.8690758968562E-16,-.0221107551623805,.861473760573855,.0925579720669508,.915294331393006,0
57,1,1,.045112782,132,4,3,9,6,7,3,14,6,1,.311774131989277,.604405036193012,1.1600837868548,1.41508833039235,.138772710382127,1.69004103441628,.565395552819034,1.80277563773199
58,1,1,.092150171,259,5.5,2.5,10,5,7,3,14,6,1,1.42254068289082,.119388649124545,1.54677838247306,.696488787614987,1.304463477592,.813723461015246,.942325921365057,.901387818865997
59,1,1,.132575758,258,4.5,2.5,9,5,7,3,14,6,1,.682029648956458,.119388649124545,1.1600837868548,.696488787614987,.527336299452085,.813723461015246,.565395552819034,.901387818865997
60,1,3,.183333333,193,5,2.5,6,4,6,4,7,6,1,1.05228516592364,.119388649124545,6.8690758968562E-16,-.0221107551623805,1.01154298229852,-.379794820145239,.979957887012222,-.457087050165032
61,0,3,.119601329,311,6,2,7,4,6,4,7,6,1,1.792796199858,-.365627737943922,.386694595618266,-.0221107551623805,1.71962306990749,-1.04443575539941,1.60356745147455,-.457087050165032
62,0,3,.34729064,382,4,2.5,5,4,6,4,7,6,1,.311774131989277,.119388649124545,-.386694595618265,-.0221107551623805,.303462894689556,-.379794820145239,.356348322549899,-.457087050165032
63,0,2, , ,3.3,3,6,4,5,5,14,6,0, , , , , , , , 
64,0,2,.040955631,262,2.3,2,5,3,5,5,14,6,1,-.94709462569914,-.365627737943922,-.386694595618265,-.740710297939748,-.358587766912289,-.448448529330875,-.32479917717646,-.332612299970426
65,1,4,.027777778,167,5,3,11,6,6,4,12,7,1,1.05228516592364,.604405036193012,1.93347297809133,1.41508833039235,.652445886138503,.717217745526686,1.10299339908516,.993785851718928
66,1,3,.051282051,161,2,2.5,3,4,6,4,7,6,1,-1.16924793587945,.119388649124545,-1.1600837868548,-.0221107551623805,-1.11269728052837,-.379794820145239,-.890870806374748,-.457087050165032
67,1,3,.123966942,124,3.5,3,4,5,6,4,7,6,1,-.0584813849779047,.604405036193012,-.77338919123653,.696488787614987,-.0505771491149262,.284846115108928,-.267261241912425,.609449400220045
