ID,FAMID,IDSC,IDSEX,IDAB,IDFAMAB,IDFAMSEX,INELIG,ETHNIC,Z_SES_2,ED_DEG_F3,ED_YRS_F3,POLITIC_F3,AGE_F3,AUTH_TOT_F3,EGALIT_F3,GSS_SOC_F3,GSS_ECON_F3,RETRIB_F3,RELIG_F3,ICAR_F3,ED_DEG_M,ED_YRS_M,POLITIC_M,AGE_M_F3,AUTH_TOT_M,EGALIT_M,GSS_SOC_M,GSS_ECON_M,RETRIB_M,RELIG_M_F3,ICAR_M,RELIG_D_IN,ED_DEG_D,ED_YRS_D,POLITIC_D,AGE_D_F3,AUTH_TOT_D,EGALIT_D,GSS_SOC_D,GSS_ECON_D,RETRIB_D,RELIG_D_F3,ICAR_D,Composite_M,Composite_D,Composite
8379904,83799,4,1,2,2,3,NA,1,-0.18,2,12,3,34.95,3.92,3,2.27,3.17,2.6,27,11,2,12,3,57.91,3.42,3.38,2.73,3.17,3,31,7,27,3,14,1,61.89,3.5,3.13,2.09,3.17,4.2,31,12,39.81021788,22.07477499,32.91817992
8379906,83799,6,2,2,2,3,NA,1,-0.18,3,14,3,32.16,3.08,3.13,2.82,3.5,3.2,26,5,2,12,3,57.91,3.42,3.38,2.73,3.17,3,31,7,27,3,14,1,61.89,3.5,3.13,2.09,3.17,4.2,31,12,39.81021788,22.07477499,40.27073041
8380301,83803,1,2,1,3,2,NA,2,-0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8380302,83803,2,2,2,3,2,NA,1,-0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8380401,83804,1,2,1,1,2,NA,2,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8380403,83804,3,2,1,1,2,NA,2,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8380501,83805,1,2,1,1,2,NA,2,1.37,6,18,NA,35.08,2.75,3.75,3.91,4,2.6,27,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8380503,83805,3,2,1,1,2,NA,2,1.37,6,18,4,32.77,2.67,4.13,3.82,4,3.6,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.50753456
8380701,83807,1,2,1,3,2,NA,9,0.03,3,13,4,35.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8380702,83807,2,2,2,3,2,NA,1,0.03,3,14,2,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8380801,83808,1,2,1,1,2,NA,2,-0.22,7,19,2,35.75,3.08,2.25,3.09,2.67,4,16,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.43530799
8380803,83808,3,2,1,1,2,NA,2,-0.22,5,16,4,31.91,3.08,2.63,3.18,3.17,3.4,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.30741097
8380901,83809,1,2,1,3,2,NA,2,0.32,4,14,2,35.28,3.33,3.25,3.09,3.5,2.8,6,3,5,18,3,65.75,3.42,3.75,2.91,4,3.6,11,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.51203732,NA,47.49422599
8380902,83809,2,2,2,3,2,NA,1,0.32,3,13,3,31.15,2.83,3.88,3.18,3,3.4,8,7,5,18,3,65.75,3.42,3.75,2.91,4,3.6,11,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.51203732,NA,50.91055878
8381301,83813,1,2,1,1,2,NA,1,-0.79,5,18,5,35.1,1.75,4.38,4.36,4.67,2.2,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.77974723
8381303,83813,3,2,1,1,2,NA,1,-0.79,1,12,3,31.23,2.83,3.25,3.09,3.5,3,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.57085525
8381601,83816,1,2,1,1,2,NA,1,0.48,6,18,NA,34.83,2.83,4,3.91,3.17,2.6,8,3,5,16,3,73.29,2.92,3.38,3.18,3.5,3.4,31,8,26,5,16,3,68.11,2.67,3.75,3.45,3.33,2.2,21,14,44.78083556,59.33804557,NA
8381603,83816,3,2,1,1,2,NA,2,0.48,5,16,NA,33.27,2,4.13,3.91,3.83,3.6,3,15,5,16,3,73.29,2.92,3.38,3.18,3.5,3.4,31,8,26,5,16,3,68.11,2.67,3.75,3.45,3.33,2.2,21,14,44.78083556,59.33804557,NA
8386000,83860,0,2,2,2,2,NA,1,-1.08,5,16,5,35,1.67,4.5,4.73,4.67,2,3,12,2,12,2,60.23,3.42,2,3.09,2.5,3.6,16,12,16,1,14,2,60.31,3.33,2.13,2.73,1.67,3.6,15,4,29.63910869,27.18453121,93.14485038
8386002,83860,2,2,2,2,2,NA,1,-1.08,2,13,3,32.62,2.5,3.38,4.27,3.33,2.2,8,6,2,12,2,60.23,3.42,2,3.09,2.5,3.6,16,12,16,1,14,2,60.31,3.33,2.13,2.73,1.67,3.6,15,4,29.63910869,27.18453121,64.71688146
8386200,83862,0,2,2,2,2,NA,1,-1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,16,2,63.6,3.33,3.13,2.36,3.33,3.2,32,5,9,5,16,2,62.78,3.08,1.25,1.55,1.5,4.6,8,8,32.56117962,14.74343292,NA
8386202,83862,2,2,2,2,2,NA,1,-1.87,7,20,4,32.98,2.08,3.13,4.27,4,3.2,7,13,4,16,2,63.6,3.33,3.13,2.36,3.33,3.2,32,5,9,5,16,2,62.78,3.08,1.25,1.55,1.5,4.6,8,8,32.56117962,14.74343292,67.62941308
8386500,83865,0,2,2,2,2,NA,1,-0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8386502,83865,2,2,2,2,2,NA,1,-0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8386600,83866,0,2,2,2,2,NA,1,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8386602,83866,2,2,2,2,2,NA,1,0.28,5,16,2,32.69,3.08,3.5,3.55,3.33,3.2,30,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.31644021
8386900,83869,0,2,2,2,2,NA,1,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8386902,83869,2,2,2,2,2,NA,1,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8387000,83870,0,2,2,2,2,NA,1,-1.07,5,16,4,34.71,3,3.88,2.82,3.17,3.2,19,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.75988277
