id,egalit,politic,egalit_p,politic_p,egalit_p_code,politic_p_code,idsex,ethnic,age,idab,famid
8465307,3.88,3,4.25,5,m,m,female,Asian,33.11,adopted,84653
8465507,3.13,2,3.88,4,c,c,female,White,31.69,adopted,84655
8465807,1.75,3,2.88,2,c,c,female,Asian,32.21,adopted,84658
8466700,3.88,4,4.63,4,m,m,male,White,33.46,biological,84667
8467900,3,2,2.88,2,c,c,male,White,34.09,biological,84679
8467902,3.63,4,2.88,2,c,c,male,White,31.24,biological,84679
8475705,2.88,2,3.625,3.5,c,c,male,Asian,33.34,adopted,84757
8475707,4.25,5,3.625,3.5,c,c,female,Asian,32.36,adopted,84757
8476400,2.5,2,2.88,2,m,m,male,White,34.28,biological,84764
8476600,2,2,3.25,3,c,c,male,White,34.52,biological,84766
8476800,2.13,1,1.94,1.5,c,c,male,White,33.65,biological,84768
8476802,2.5,1,1.94,1.5,c,c,male,White,31.7,biological,84768
8479704,3.63,4,2.63,2,f,f,male,White,33.89,biological,84797
8479706,3.5,4,2.63,2,f,f,female,White,32.26,biological,84797
8479806,3.25,3,3.38,3,m,m,female,White,30.75,biological,84798
8479904,2.25,2,3.25,3,m,m,male,White,34.01,biological,84799
8479906,3.75,4,3.25,3,m,m,female,White,32.29,biological,84799
8481001,3.63,3,3.88,4,m,m,female,Asian,33.9,adopted,84810
8481002,4.88,5,3.88,4,m,m,female,White,31.94,biological,84810
8481502,2.63,2,3.005,4,c,c,female,White,32.45,biological,84815
8481603,4,4,4.125,4.5,c,c,female,Asian,32.75,adopted,84816
8481801,3.75,5,4,3,m,m,female,Asian,33.44,adopted,84818
8481803,3.25,5,4,3,m,m,female,Asian,30.85,adopted,84818
8481901,2.5,3,2.19,2.5,c,c,female,Asian,33.56,adopted,84819
8481903,2.88,5,2.19,2.5,c,c,female,Asian,31.04,adopted,84819
8485405,3.25,4,3.63,4,c,c,female,White,33.8,adopted,84854
8485407,3.5,3,3.63,4,c,c,male,Asian,31.11,adopted,84854
8485705,2.63,3,3.375,3,c,c,female,White,34.09,adopted,84857
8485707,3,3,3.375,3,c,c,male,White,32.34,adopted,84857
8486200,3.88,4,3.63,4,m,m,female,White,33.73,biological,84862
8486900,1.5,2,4.13,2,m,m,female,White,33.97,biological,84869
8486902,3.75,4,4.13,2,m,m,female,White,33.91,biological,84869
8490301,2.5,3,3.13,4,c,c,female,Asian,33.58,adopted,84903
8490303,4.25,4,3.13,4,c,c,female,Asian,32.76,adopted,84903
8490401,3.25,3,4.255,5,c,c,female,Asian,34.14,adopted,84904
8490403,3.13,4,4.255,5,c,c,female,Asian,31.12,adopted,84904
8491101,3.75,4,3.63,3,c,c,female,White,34.36,adopted,84911
8491102,4.25,4,3.63,3,c,c,female,White,33.09,biological,84911
8495705,3.75,4,3.44,4,c,c,female,Asian,33.93,adopted,84957
